brand,seed,channel,planted,n,point_forest,ai_lo,ai_hi,ai_se,dr_ate,dr_se,ldml_ate,ldml_lo,ldml_hi,ldml_se,t_forest,t_ldml
Remibrutinib,1009,peer_influence_score,0.093,3354,0.08477800872464387,-0.07730615276325549,0.2468621702125432,0.08269751969316749,0.0824531455603195,0.021447045050608068,0.0911268987923624,0.05682744354890183,0.12542635403582295,0.01750004363039846,3.0,1.2
Remibrutinib,1009,rep_training_score,0.0,3354,0.01027008165766686,-0.1420070215443172,0.1625471848596509,0.07769382662231758,0.006507534509025968,0.019504254511717556,0.01582296307798927,-0.017376580444853247,0.04902250660083178,0.016938853869109982,2.7,1.2
Remibrutinib,1010,engagement_score,0.138,3354,0.15365488042453027,-0.00656410839001953,0.31387386923908,0.0817458835032428,0.1581177386873971,0.02209930161949326,0.15975270626160756,0.12496090459900622,0.1945445079242089,0.017751245398912756,3.0,1.3
Remibrutinib,1010,peer_influence_score,0.093,3354,0.1353649609334907,-0.016874839708418216,0.2876047615753996,0.07767479435433962,0.13477578201827578,0.024068586898895565,0.14044602609026074,0.10530417296530026,0.17558787921522123,0.017929846365624544,2.9,1.3
Remibrutinib,1010,rep_training_score,0.0,3354,-0.0015647226309179914,-0.16004255674326157,0.15691311148142553,0.08085752295059682,-0.002225492316965725,0.019958888288024616,-0.003024213448206173,-0.03623355684440723,0.030185129947994882,0.016943853896373668,2.6,1.2
Remibrutinib,1011,engagement_score,0.138,3354,0.16935943350049384,0.011755968899265556,0.3269628981017221,0.08041140786322007,0.16719521163898007,0.0215389156498561,0.16718768206725831,0.13277580962442576,0.20159955451009087,0.017557400398307832,2.6,1.2
Remibrutinib,1011,peer_influence_score,0.093,3354,0.09385389692041164,-0.06247689325427509,0.25018468709509833,0.07976207224963658,0.10561366695468354,0.023155734063378362,0.100764030487994,0.06545739890660476,0.13607066206938323,0.01801391855150576,2.8,1.1
Remibrutinib,1011,rep_training_score,0.0,3354,0.007079646079876049,-0.14552983514526857,0.15968912730502063,0.07786341036118245,0.0032116664125605783,0.019605986314305063,0.012214620967313416,-0.02086715933401383,0.04529640126864065,0.01687876948876209,2.5,1.2
Remibrutinib,1012,engagement_score,0.138,3354,0.15762733846749413,0.0028270837520859293,0.3124275931829023,0.07898117246817196,0.1503716165021121,0.02212263352643194,0.15764746370727467,0.12348270987312551,0.19181221754142383,0.017431317158701064,2.6,1.2
Remibrutinib,1012,peer_influence_score,0.093,3354,0.08065239064478048,-0.08011066514961106,0.241415446439172,0.08202347379563682,0.08858288652012927,0.025146116545898278,0.08594638459996792,0.05078404808015906,0.12110872111977677,0.017940297269319682,2.8,1.3
